station|station_name|unit|type|truck_type|rescue type|is_reserved|image|year|make|model|ladder_type|ladder_length|max_pump_rate|wate_tank_capacity|foam_cell_capacity
410|Baileys Crossroads|A410|Ambulance|||TRUE|ambulance|2016|Braun|Chief XL|||||FALSE
414|Burke|A414|Ambulance|||TRUE|ambulance|2006|Horton|F-450|||||FALSE
414|Burke|A414B|Ambulance|||TRUE|ambulance|2005|Horton|F-450|||||FALSE
413|Dunn Loring|A413|Ambulance|||TRUE|ambulance|2013|Horton|F-550|||||FALSE
412|Great Falls|A412|Ambulance|||TRUE|ambulance|2012|Braun|F-550|||||FALSE
401|McLean|A401|Ambulance|||TRUE|ambulance|2015|Road Rescue|F-550|||||FALSE
438|West Centerville|A438|Ambulance|||TRUE|ambulance|2012|Horton|F-550|||||FALSE
408|Annandale|A408|Ambulance|||TRUE|ambulance|2013|Horton|Freightliner M2|||||FALSE
417|Centreville|A417|Ambulance|||TRUE|ambulance|2010|Horton|Freightliner M2|||||FALSE
421|Fair Oaks|A421B|Ambulance|||TRUE|ambulance|2008|Horton|Freightliner M2|||||FALSE
405|Franconia|A405|Ambulance|||TRUE|ambulance|2014|Medic Master|Freightliner M2|||||FALSE
437|Kingstowne|A437|Ambulance|||TRUE|ambulance|2011|Horton|Freightliner M2|||||FALSE
422|Springfield|A422|Ambulance|||TRUE|ambulance|2020|REV|Freightliner M2 106|||||FALSE
402|Vienna|A402|Ambulance|||TRUE|ambulance|2015|Horton|International DuraStar 4300|||||FALSE
427|West Springfield|AB427|Ambulance Bus|||FALSE|ambulance_bus|2010|Thomas|Sartin|||||FALSE
408|Annandale|BC404|Battalion Chief|||FALSE|battalion_chief|2019|Ford|F-350|||||FALSE
421|Fair Oaks|BC403|Battalion Chief|||FALSE|battalion_chief|2015|Ford|F-350|||||FALSE
432|Fairview|BC407|Battalion Chief|||FALSE|battalion_chief|2020|Ford|F-350|||||FALSE
437|Kingstowne|BC405|Battalion Chief|||FALSE|battalion_chief|2013|Ford|F-350|||||FALSE
409|Mount Vernon|BC406|Battalion Chief|||FALSE|battalion_chief|2018|Ford|F-350|||||FALSE
425|Reston|BC401|Battalion Chief|||FALSE|battalion_chief|2015|Ford|F-350|||||FALSE
429|Tysons Corner|BC402|Battalion Chief|||FALSE|battalion_chief|2016|Ford|F-350|||||FALSE
414|Burke|BSU414|Boat Support Unit|||FALSE|boat_support|2021|Stahl|F-250|||||FALSE
416|Clifton|BSU416|Boat Support Unit|||FALSE|boat_support|2019|Stahl|F-250|||||FALSE
441|Crosspointe|BSU441|Boat Support Unit|||FALSE|boat_support|2013|Stahl|F-250|||||FALSE
421|Fair Oaks|BSU421|Boat Support Unit|||FALSE|boat_support|2019|Stahl|F-250|||||FALSE
412|Great Falls|BSU412|Boat Support Unit|||FALSE|boat_support|2014|Stahl|F-250|||||FALSE
418|Jefferson|BSU418|Boat Support Unit|||FALSE|boat_support|2016|Stahl|F-250|||||FALSE
439|North Point|BSU439|Boat Support Unit|||FALSE|boat_support|2015|Stahl|F-250|||||FALSE
416|Clifton|BR416|Brush Unit|||FALSE|brush|2005|Singer|F-350|||250|150|FALSE
441|Crosspointe|BR441|Brush Unit|||FALSE|brush|2009|CET|F-350|||250|150|FALSE
405|Franconia|BR405|Brush Unit|||FALSE|brush|1992|Wajax-Pacific|F-350|||250|150|FALSE
