station|station_name|unit|type|truck_type|rescue type|is_reserved|image|year|make|model|ladder_type|ladder_length|max_pump_rate|wate_tank_capacity|foam_cell_capacity
420|Gunston|FB420|Fire Boat|||0|boat|2020|Metal Shark|55 Defiant|||||
410|Baileys Crossroads|A410|Ambulance|||1|ambulance|2016|Braun|Chief XL|||||
419|Lorton|E419B|Engine|||1|engine|2008|E-One|Cyclone II Pumper|||750|1500|40
409|Mount Vernon|E409|Engine|||0|engine|2017|E-One|Cyclone II Pumper|||750|1500|40
408|Annandale|E408|Engine|||0|engine|2020|E-One|Cyclone Pumper|||690|1500|
416|Clifton|E416|Engine|||0|engine|2020|E-One|Cyclone Pumper|||690|1500|
441|Crosspointe|E441|Engine|||0|engine|2020|E-One|Cyclone Pumper|||690|1500|
412|Great Falls|E412|Engine|||0|engine|2020|E-One|Cyclone Pumper|||690|1500|
420|Gunston|E420|Engine|||0|engine|2020|E-One|Cyclone Pumper|||690|1500|
417|Centreville|E417|Engine|||0|engine|2019|E-One|Cyclone Pumper|||750|1500|40
413|Dunn Loring|E413|Engine|||0|engine|2019|E-One|Cyclone Pumper|||750|1500|40
440|Fairfax Center|E440|Engine|||0|engine|2019|E-One|Cyclone X Pumper|||650|1500|40
404|Herndon|E404|Engine|||0|engine|2019|E-One|Cyclone X Pumper|||650|1500|40
418|Jefferson|E418|Engine|||0|engine|2019|E-One|Cyclone X Pumper|||650|1500|40
429|Tysons Corner|E429|Engine|||0|engine|2019|E-One|Cyclone X Pumper|||650|1500|40
423|West Annandale|E423|Engine|||0|engine|2019|E-One|Cyclone X Pumper|||690|1500|
422|Springfield|T422|Truck|Straight||0|truck|2005|Pierce|Dash Aerial|rear-mount ladder|105|||
422|Springfield|E422|Engine|||0|engine|2008|Pierce|Dash Pumper|||750|1500|
417|Centreville|E417B|Engine|||1|engine|2008|Pierce|Dash Pumper|||750|1500|40
405|Franconia|E405|Engine|||0|engine|2004|Pierce|Dash Pumper|||750|1500|40
405|Franconia|E405B|Engine|||1|engine|2001|Dash|Dash Pumper|||750|1500|40
416|Clifton|TK416|Tanker|||0|tanker|2017|Pierce|Dryside|||1250|3000|
441|Crosspointe|TK441|Tanker|||0|tanker|2017|Pierce|Dryside|||1250|3000|
420|Gunston|TK420|Tanker|||0|tanker|2017|Pierce|Dryside|||1250|3000|
442|Wolftrap|TK442|Tanker|||0|tanker|2015|Pierce|Dryside|||1250|3000|
402|Vienna|CAN402|Canteen|||0|canteen|2012|Krammes|E-450|||||
402|Vienna|E402B|Engine|||1|engine|2002|American LaFrance|Eagle Pumper|||500|1250|
430|Merrifield|MCP430|Mobile Command Post|||0|command_post|2005|Pierce|Enforcer|||||
438|West Centerville|MCP438|Mobile Command Post|||0|command_post|2005|Pierce|Enforcer|||||
414|Burke|BSU414|Boat Support Unit|||0|boat_support|2021|Stahl|F-250|||||
