station_number|department|battalion|lat|lon|station_name|address|city|state|zip|phone|fire_boxes|is_volunteer|density|Area Description|Primary Target Hazard Fire|Primary Target Hazard Non-Fire
401|Fairfax County Fire and Rescue Department|402|38.93171|-77.17721|McLean|1455 Laughlin Avenue|McLean|VA|22101|703-356-6671|21|TRUE|Suburban|Demand Zone 401 is an Urban/Suburban zone of 18.00 Square miles within the 2nd Battalion that serves a population of 45,169. Station 401 consists of numerous residential, commercial and government high rise complexes. There are several high security/limited access intelligence facilities within the zone.|Numerous residential and commercial high-rises. Several high security government intelligence campus present unique risk for delay access to seat of the fire. Large single-family homes with limited access due to small access bridges that do not support heavy fire department apparatus. Large homes with limited water or rural water supply areas.|Numerous vehicle accidents on I-495, I-66, Rt. 267, Rt. 123, Rt. 193. Numerous residential high rise assisted living facilities and lower income housing in the Pimmit Hills section produces numerous calls for medical assistance. Sometimes this includes several calls simultaneously. During the summer months calls for service to Great Falls Park and Scotts Run increase time needed to reach patients due to terrain and limited access. A large number of VIP''s, CEO''s, and International/Federal Government Officials live in the first due area.
402|Fairfax County Fire and Rescue Department|402|38.8991|-77.26111|Vienna|400 Center Street SW|Vienna|VA|22180|703-938-2242|16|TRUE|Suburban|Demand Zone 402 encompasses the town of Vienna and is an urban zone of 7.19 square miles located within the 2nd Battalion that serves a population of 24,143. There are approximately 15,687 people, 5,528 households, and 4,215 families residing within the city boundaries of Vienna. The zone consists of Type III and V single-family structures and an older Type III downtown core area.|Numerous single large single-family homes, including some in rural water supply areas. Large number of commercial retail and strip malls primary along route 123.|Washington and Old Dominion Trail system (W&OD). Calls for emergency medical assistance by large elderly population including fixed facilities. Vehicle accidents along major arterials have the potential to be high speed collisions. Historic Church Street, large elderly population, large commercial area, Waters Field, town activities involving large gathering of people.
404|Fairfax County Fire and Rescue Department|401|38.96896|-77.38597|Herndon|680 Spring Street|Herndon|VA|20170|703-437-1233|16|FALSE|Suburban|Demand Zone 404 is an urban zone with approximately 7.89 square miles of service area within the 1st Battalion that serves a population of 44,354. The zone consists mainly of Type III and V, single-family homes with some low-rise commercial areas mixed with a downtown urban core. Zone 404 has a 120 unit retirement community, garden apartments and a commercial district that consist of sprinkled and un-sprinkled buildings. Fire Zone 404 is bordered on the north by Zone 439, the east by Zone 425, the south by 431 and 436, and the west by Loudoun County to which we provide automatic aid. Station 404 is a new fire station which replaced an aging station in 2017.|Mixed-use commercial occupancies reside along Elden Street and Herndon Parkway. Numerous garden style apartment complexes house a high population of this zone’s residents. Unique building construction features exist throughout this zone including commercial office buildings built above parking garages, trash chutes, storage areas, basements without exterior access, as well as many vacant structures. We also have a 230,000 square foot mall that houses a fitness facility and 9 screen theater.|Worldgate Center is a 230,000 sq. ft. mall including restaurants, underground parking, a fitness facility and 9 screen theater. An increase in accident dispatches on Fairfax County Parkway and Dulles Toll Road. Low-income housing along Elden Street increases foot traffic and motor vehicle accidents. Multiple emergency service requests for retirement community.
405|Fairfax County Fire and Rescue Department|405|38.78056|-77.14624|Franconia|6300 Beulah Street|Alexandria|VA|22310|703-971-5858|15|TRUE|Suburban|Demand Zone 405 is an urban zone with 8.19 square miles of service area within the 5th Battalion that serves a population of 36,942. The zone consists of a mixed residential and commercial community Type-III and Type-V of townhomes, garden apartments, single-family neighborhoods and many mixed-use strip centers. The area is growing at a fast pace with remodels and new construction and mixed-use occupancies. Fire Zone 405 is bordered on the north by Alexandria City, the east by Zone 411, the south by Zone 437 and Fort Belvoir, and the west by Zone 422. Zone 405 runs automatic aid with, the City of Alexandria, Arlington County, Prince George’s County, Maryland and U.S. Army base Fort Belvoir.|Army National Guard Facility on Telegraph Road, numerous strip malls/commercial strip buildings, and mid-rise/high-rise commercial buildings. Sunrise Assisted Living Center, Connections for Hope, Forrest Glenn. Numerous garden apartments|Army National Guard Facility on Telegraph Road, numerous strip malls/commercial strip buildings, and mid-rise/high-rise commercial buildings. Sunrise Assisted Living Center, Connections for Hope, Forrest Glenn. Numerous garden apartments
408|Fairfax County Fire and Rescue Department|404|38.83266|-77.19173|Annandale|7128 Columbia Pike|Annandale|VA|22003|703-256-2552|16|TRUE|Suburban|Fire Zone 408 is an urban area of 9.60 square miles within the 4thBattalion that serves a population of 46,988. The zone consists of Type-III and Type-V garden apartments built from 1950-1990 with open and closed stair-wells, large single-family homes, Type-II high[1]rise buildings and a light industrial area located on Port Royal Road.|Parliament House is a high-rise residential occupancy which is non-sprinkled, Sleepy Hollow Manor Nursing Home (building is old and non-sprinkled where residence on the third floor have one main exit on the Alpha side), Assisted Living Bright View at Woodburn. Numerous garden apartments high population Americana Drive numerous vehicles park on both sides of the street making it difficult for apparatus responding and positioning. Light industrial park on Port Royal road in the southern end of Fire Zone 408.|Parliament House is a high-rise residential occupancy which is non-sprinkled, Sleepy Hollow Manor Nursing Home (building is old and non-sprinkled where residence on the third floor have one main exit on the Alpha side), Assisted Living Bright View at Woodburn. Numerous garden apartments high population Americana Drive numerous vehicles park on both sides of the street making it difficult for apparatus responding and positioning. Light industrial park on Port Royal road in the southern end of Fire Zone 408.
409|Fairfax County Fire and Rescue Department|406|38.74289|-77.07763|Mount Vernon|2601 Sherwood Hall Lane|Alexandria|VA|22306|703-780-0150|12|FALSE|Suburban|Fire Zone 409 is predominantly a residential area of 9.69 square miles within the 6th Battalion that serves a population of 40,628. The zone consists of equal amounts of Type-III and Type-V single-family, townhouse and older garden apartment buildings. There are numerous strip shopping centers along State Route 1 (Richmond Highway) that produce significant fire hazard. An additional target hazard is Mount Vernon Hospital which is part of the INOVA chain of hospitals. The response area runs parallel with the Potomac River and the George Washington Parkway.|The large number of rehabilitation and assisted living facilities within the zone creates a high risk of loss-of-life in fire situations. A large number of the strip shopping centers along Richmond Highway create risk for large loss fires.|Motor vehicle accidents along Richmond Hwy and the George Washington Memorial Parkway have the potential for high speed collisions high degree of mechanism of injury. The Potomac River poses risk of drowning and water craft emergencies year round. A number of medical and care facilities produces EMS response.
410|Fairfax County Fire and Rescue Department|404|38.84562|-77.13905|Bailey''s Crossroads|3601 Firehouse Lane|Falls Church|VA|22041|703-820-2345|15|TRUE|Urban|Fire Zone 410 is an urban zone of 4.38 square miles within the 4th Battalion that serves a population of 31,708. The zone consists of multiple high-rise buildings and low income Type-III and Type-V garden style apartments with enclosed stairwells built from 1940- 1970. The high-rise buildings consist of residential and commercial, sprinklered and unsprinklered. Fire Zone 410 is bordered on the south by Zones 408 and 426, the east and north by mutual aid agencies Alexandria City and Arlington County and the west by Zone 428.|Un-sprinklered residential high-rise in and around Skyline Towers present multiple high-rise fires each year. Mixed-use commercial occupancies reside along Leesburg Pike and Columbia Pike. Numerous garden style apartment complexes house a high population of this zone’s residents. Unique building construction features exist throughout this zone including bowstring truss roofs, trash chutes, storage areas, basements without exterior access, as well as many vacant structures.|Vehicle accidents along Columbia Pike and Leesburg Pike have the potential to be high speed collisions. Calls for emergency medical assistance often occur in residential high-rise buildings and calls for medical service in lower income areas of Glen Carlyn Drive (Olde Salem Village). Calls for service from Lincolnia Senior Center and Goodwin House retirement community account for many incidents. Lake Barcroft’s location within a neighborhood poses an ice rescue and drowning threat year-round.
411|Fairfax County Fire and Rescue Department|406|38.7731|-77.07916|Penn Daw|6624 Hulvey Terrace|Alexandria|VA|22306|703-765-4404|20|FALSE|Urban|Fire Zone 411 is an urban zone of approximately 10.94 square miles within the 6th Battalion that serves a population of 45,133. The zone consists of a mixture of commercial, light industrial, and residential occupancies. The occupancies are Type-III and Type-V, single-family dwellings, duplex residence, townhomes, commercial strip shopping centers, high-rise buildings, and hotels|Dense commercial and residential occupancies combined with lower income housing in the single-family occupancies create higher than normal risk.|The Potomac River poses risk of drowning and watercraft emergencies year round. Major highways produce motor vehicle accidents which have the potential for high speed collisions with high degree of mechanism of injury. Significant pedestrian traffic, booming commercial and residential active construction sites, Huntington Metro Station, major flooding in Huntington and Belleview areas.
412|Fairfax County Fire and Rescue Department|401|38.99888|-77.29115|Great Falls|9916 Georgetown Pike|Great Falls|VA|22066|703-759-2300|8|TRUE|Rural|Fire Zone 412 is an area of 15.08 square miles within the 1st Battalion that serves a population of 8,930. The zone consists of mostly rural/suburban area which comprises large multi-million dollar homes to smaller ranch type houses built in the 1960’s. Most of the zone is non-hydrant so tankers are factored into the response planning. Zone 412 has an abundance of parkland and wildland areas where brush fires are common in the fall and spring. The national parks increase the likelihood of lost/injured hikers who are generally not experienced outdoors people. Zone 412 responds into Great Falls Park which encompasses waterfalls which fall approximately 85 feet through the Potomac River Basin and are considered Class 5 rapids.|Large multi-million dollar homes exceeding 5,000 square feet with limited or no water supply. These structures are built in wooded, large rural lots with narrow access roads with gates. Many of the homes are owned by foreign governments and wealthy political/business people who have high security and privacy concerns which often causes a delay in entry to the structure or property.|Great Falls National Park, Riverbend Park and many regional park properties generating calls for lost or injured hikers, horseback riders, bikers. There is an increased risk of brush fires in these zones which may grow to substantial size due to limited access and lack of roads/trails leading into these area.
413|Fairfax County Fire and Rescue Department|402|38.90239|-77.22436|Dunn Loring|2148 Gallows Road|Dunn Loring|VA|22027|703-560-1539|18|TRUE|Urban|Fire Zone 413 is an urban zone of 5.66 square miles within the 2nd Battalion that serves a population of 31,603. The area consists of multiple high-rise buildings with a mix of residential and commercial, sprinkled and un-sprinkled. In addition, there are a large number of Type III and V construction garden style apartments built from 1950 to1980. Fire Zone 413 is bordered on the north by Zones 429 and 401, the south by Zone 430, the east by mutual aid agency Arlington County (106) and the west by Zone 402 and 442.|Tysons Corner Center located at 1961 Chain Bridge Road. Low income single-family homes in the Pimmit Hills area, multiple garden apartments, high rise apartment buildings, high capacity hotels and multiple town home complexes.|Vehicle accidents along I-495, I-66 and Route 7 (Leesburg Pike) have the potential to be high speed collisions. Calls for emergency medical assistance often occur in residential high-rise buildings and calls for medical service in lower income areas of Pimmit Hills and Tysons Mall. Zone 413 has several “soft” terrorist targets such as the Tysons Mall, our numerous schools, churches and high vehicle traffic areas.
